temporada,categoria,competicion,grupo,jornada,cod_acta,equipo_local,equipo_visitante,equipo,rival,local_visitante,evento,minuto,parte,jugador,tipo_gol,jugador_entra,jugador_sale,num_sustitucion,resultado_parcial
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D.C. RECESENDE,S.D. CACHEIRAS,local,tarjeta amarilla,38,1,"NUÑEZ BARRAL, SEBASTIAN",,,,,0-2
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,sustitucion,40,1,,,"GARABAL JORGE, SERGIO","DA CONCEICAO ANTUNES, FELIPE MATHEUS",1,0-2
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,tarjeta amarilla,43,1,"MARTINEZ RODRIGUEZ, JOSE EMILIO",,,,,0-2
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D.C. RECESENDE,S.D. CACHEIRAS,local,sustitucion,46,2,,,"MOSQUERA GARRIDO, DIEGO","MUIÑA BARREIRO, ALEJANDRO",1,0-2
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,gol,53,2,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",normal,,,,0-3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D.C. RECESENDE,S.D. CACHEIRAS,local,sustitucion,58,2,,,"JIMÉNEZ ALBARRAN, SERGIO","NUÑEZ BARRAL, SEBASTIAN",2,0-3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,gol,63,2,"BENITEZ SANHUEZA, LEONARDO",normal,,,,0-4
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D.C. RECESENDE,S.D. CACHEIRAS,local,sustitucion,66,2,,,"ROA BECERRA, YAGO","FRANCO SANMARTIN, CARLOS L",3,0-4
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D.C. RECESENDE,S.D. CACHEIRAS,local,sustitucion,66,2,,,"CALVO CUTRIN, RAUL","MEIJOME QUINTANA, RODRIGO",4,0-4
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,sustitucion,72,2,,,"ROMERO DURO, SANDRO","MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",2,0-4
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,gol,80,2,"SALGUEIRO POMBO, DAVID",normal,,,,0-5
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,tarjeta amarilla,88,2,"HUERTAS PARDO, CRISTOBAL",,,,,0-5
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,gol,23,1,"CUÑARRO FERNÁNDEZ, PABLO",normal,,,,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,gol,30,1,"QUINTÁ GARCÍA, DAVID",normal,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,gol,44,1,"CUÑARRO FERNÁNDEZ, PABLO",normal,,,,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,sustitucion,57,2,,,"ROMERO MONTOUTO, PABLO","GARCIA VENCE, JOSE MANUEL",1,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,S.D. CRUCES,RODEIRO C.F.,visitante,sustitucion,59,2,,,"VAZQUEZ BALBOA, XURXO","GRANJA HERMIDA, JESUS ANTONIO",1,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,sustitucion,66,2,,,"LÓPEZ MÉNDEZ, MARCOS","GARCIA SA, JOSE ANTONIO",2,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,sustitucion,66,2,,,"CANGADO VILLAMARIN, CARLOS","CUÑARRO FERNÁNDEZ, PABLO",3,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,S.D. CRUCES,RODEIRO C.F.,visitante,sustitucion,68,2,,,"CANGAS COSTA, DIEGO","OTERO IGLESIAS, OSCAR",2,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,S.D. CRUCES,RODEIRO C.F.,visitante,sustitucion,68,2,,,"FERNANDEZ REBOREDO, JUAN","JACOME AMARANTE, IVAN",3,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,S.D. CRUCES,RODEIRO C.F.,visitante,gol,74,2,"SOTO PARCERO, DANIEL",normal,,,,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,S.D. CRUCES,RODEIRO C.F.,visitante,sustitucion,79,2,,,"MENDEZ REIMONDEZ, SANTIAGO","SOTO PARCERO, DANIEL",4,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,S.D. CRUCES,RODEIRO C.F.,visitante,sustitucion,79,2,,,"CORBAL CANGADO, BENITO","GONZALEZ SANCHEZ, ALEJANDRO",5,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,sustitucion,88,2,,,"LÓPEZ GONZÁLEZ, IGNACIO","PENELA MONTOTO, CRISTIAN",4,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186947,RODEIRO C.F.,S.D. CRUCES,RODEIRO C.F.,S.D. CRUCES,local,sustitucion,88,2,,,"LAMAZARES CASERO, ALBERTO","CALVO DAFONTE, RAÚL",5,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,gol,2,1,"PAMPIN NOGUEROL, DANIEL",normal,,,,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,S.D. DUBRA B,C.F. CIRE DE MELIDE,visitante,sustitucion,46,2,,,"NIETO GARCIA, BRAIS","POSE GRAÑA, GABRIEL",1,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,gol,52,2,"MONTERROSO GOMEZ, SERGIO",normal,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,sustitucion,62,2,,,"PARRADO ROMERO, CARLOS","PAMPIN NOGUEROL, DANIEL",1,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,sustitucion,62,2,,,"VIZCAINO ALCALDE, OSCAR","PEREIRO SANCHEZ, DAVID",2,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,gol,66,2,"PARRADO ROMERO, CARLOS",normal,,,,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,S.D. DUBRA B,C.F. CIRE DE MELIDE,visitante,sustitucion,68,2,,,"ARNEJO DIAZ, BRAIS","RODRIGUEZ LANDEIRA, SERGIO J",2,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,S.D. DUBRA B,C.F. CIRE DE MELIDE,visitante,sustitucion,68,2,,,"VÁZQUEZ FERNÁNDEZ, ROBERTO","FORJAN GARCIA, ADRIAN",3,3-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,gol,74,2,"GARCIA COSTOYA, JORGE",normal,,,,4-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186948,C.F. CIRE DE MELIDE,S.D. DUBRA B,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,sustitucion,74,2,,,"RODRIGUEZ RODRIGUEZ, JACOBO","MOSTEIRO GARCIA, SERGIO",3,4-0
