minuto,jugador,tipo_gol,equipo,marcador,cod_acta
79,"DE SOUSA OLIVEIRA, THIAGO",Normal,S.D. VILLESTRO,1-2,1186973
90'+4,"FIGUEIRAS PORTELA, FERNANDO",Normal,S.D. VILLESTRO,2-2,1186973
5,"SENDE MALLO, DIEGO",Normal,C.D. SAN MAMED,1-0,1186974
21,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,1-1,1186974
70,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,1-2,1186974
11,"ESPIÑO CUIÑA, LOIS",Normal,LAMELA C.F.,1-0,1186975
62,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-1,1186975
90'+1,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-2,1186975
90'+5,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-3,1186975
10,"ROMERO DURO, SANDRO",Normal,S.D. CACHEIRAS,0-1,1186976
38,"RAMOS CASTRO, ANDRÉS",Normal,C.D.BELVIS,1-0,1186977
75,"SOTO PARCERO, DANIEL",Normal,S.D. CRUCES,1-1,1186977
85,"AMIGO FERNANDEZ, JUAN JOSE",Normal,C.D.BELVIS,2-1,1186977
87,"FRANCOS CREGO, JULIAN",Normal,C.D.BELVIS,3-1,1186977
85,"GOMEZ LOPEZ, EZEQUIEL",Normal,C.D. SPORT TEAM ESTRADA,1-0,1186978
5,"VAZQUEZ CORRAL, JORGE",Normal,SOCIEDADE DEPORTIVA O PINO,1-0,1186979
45'+4,"PAZO DURO, JAVIER",Normal,SOCIEDADE DEPORTIVA O PINO,2-0,1186979
44,"DE SOUSA OLIVEIRA, THIAGO",Normal,S.D. VILLESTRO,0-1,1186980
54,"MOSQUERA GARRIDO, DIEGO",Normal,S.D.C. RECESENDE,1-1,1186980
85,"FRANCO SANMARTIN, CARLOS L",Normal,S.D.C. RECESENDE,2-1,1186980
22,"CHAS BROCOS, IAGO SENEN",Normal,C.D. SAN MAMED,0-1,1186981
33,"AREÁN DIEGUEZ, OVIDIO",Normal,RODEIRO C.F.,1-1,1186981
80,"FERREIRO CAMBA, MANUEL",Penalti,RODEIRO C.F.,2-1,1186981
41,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,0-1,1186982
45,"FREIRIA LOPEZ, JORGE",Normal,U.D. VAL DO ULLA,1-1,1186982
51,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,1-2,1186982
54,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,1-3,1186982
58,"PEREIRO SANCHEZ, DAVID",Penalti,C.F. CIRE DE MELIDE,1-4,1186982
17,"FREIRIA LOPEZ, JORGE",Normal,U.D. VAL DO ULLA,0-1,1186983
27,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,1-1,1186983
37,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,2-1,1186983
40,"CALVIÑO IGLESIAS, PABLO",Normal,U.D. VAL DO ULLA,2-2,1186983
45'+1,"ALONSO GIL, GUILLERMO",Propia Puerta,U.D. VAL DO ULLA,2-3,1186983
48,"FREIRIA LOPEZ, IGNACIO",Normal,U.D. VAL DO ULLA,2-4,1186983
73,"RODRIGUEZ NUÑEZ, XABIER",Normal,U.D. VAL DO ULLA,2-5,1186983
