jugador_entra,jugador_sale,minuto,equipo,cod_acta
"GUERRERO NIEVES, FRANCISCO J","FERNANDEZ SUAREZ, DARIO",14,A.C.U.D. CAMPORRAPADO,1186959
"LOPEZ BREA, SANTIAGO","MILLAN OCAMPO, JOSE ANTONIO",46,A.C.U.D. CAMPORRAPADO,1186959
"SANMARTIN LAREO, MANUEL ANGEL","DOS REIS FERRO, OSCAR",46,A.C.U.D. CAMPORRAPADO,1186959
"LOPEZ CANICOBA, FABIAN","VIEITES BOUZON, MARTIN",72,A.C.U.D. CAMPORRAPADO,1186959
"SANIN CARBIA, ALBERTO","DOVAL GARCIA, ION",46,LAMELA C.F.,1186959
"RIVEIRA MURCIA, HUGO","RIOS ALCAIDE, JUAN MANUEL",58,LAMELA C.F.,1186959
"GARCIA CARRERA, MANUEL","ESPIÑO CUIÑA, LOIS",58,LAMELA C.F.,1186959
"VARELA VAZQUEZ, DAVID","CASTRO DOMINGUEZ, FRANCISCO",63,LAMELA C.F.,1186959
"PORTELA RIVAS, XIAO","FIGUEIRAS GAGO, ALEJANDRO",65,LAMELA C.F.,1186959
"AMIGO FERNANDEZ, JUAN JOSE","RODRIGUEZ VILAS, BRAIS",51,C.D.BELVIS,1186960
"ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE","BATISTA RAMOS, WALDIR F",62,C.D.BELVIS,1186960
"FERNÁNDEZ GALLAS, RODRIGO","FERNANDEZ PEREZ, JESUS DE BELEN",85,C.D.BELVIS,1186960
"SUAREZ PEON, DIEGO","RIELO COUSO, HUGO",62,C.F. SILLEDA,1186960
"NUÑEZ GONZALEZ, MIGUEL","ESPIÑO RODRIGUEZ, AARON",62,C.F. SILLEDA,1186960
"ESPANTOSO LAMAS, JORGE","LOPEZ DE LA FUENTE, ELOI",87,C.F. SILLEDA,1186960
"CHEDAS DURAN, ALFONSO","BARRUSO ARIAS, HUGO",37,C.D. SPORT TEAM ESTRADA,1186961
"FIGUEIRAS GARCIA, PAULO","GOMEZ CORA, ADRIAN",65,C.D. SPORT TEAM ESTRADA,1186961
"GOMEZ LOPEZ, EZEQUIEL","MIGUEZ VIDAL, DANIEL",65,C.D. SPORT TEAM ESTRADA,1186961
"RIVEIRA DA COSTA, MARTIN","CERVIÑO CARRACEDO, ANDRES",86,C.D. SPORT TEAM ESTRADA,1186961
"ROMERO DURO, SANDRO","DOSUNA SOUTO, BRAIS",60,S.D. CACHEIRAS,1186961
"CANTELAR VILLAR, JAIRO","MENDEZ FERNANDEZ, BRAIS",82,S.D. CACHEIRAS,1186961
"PORTOS VILLAR, BORJA","GARCIA SENRA, DIEGO",57,SOCIEDADE DEPORTIVA O PINO,1186962
"FUENTES PARRA, DANIEL","CENDON GONZALEZ, JOSE",65,SOCIEDADE DEPORTIVA O PINO,1186962
"VILLAR VILLAR, IVAN","CANABAL CASTRO, ISMAEL",65,SOCIEDADE DEPORTIVA O PINO,1186962
"MAESTRE CALVO, DAVID RAFAEL","GOMES TAVARES, RAFAEL ANDRE",75,SOCIEDADE DEPORTIVA O PINO,1186962
"JACOME AMARANTE, IVAN","DOMINGUEZ VAZQUEZ, CRISTIAN",46,S.D. CRUCES,1186962
"MENDEZ REIMONDEZ, SANTIAGO","FERNANDEZ REBOREDO, JUAN",73,S.D. CRUCES,1186962
"CANGAS COSTA, DIEGO","GRANJA HERMIDA, JESUS ANTONIO",76,S.D. CRUCES,1186962
